GUID,Welt (codiert),Welt (uncodiert),Europa Smaragd,Europa (codiert),Europa (uncodiert),Schweiz (codiert),Schweiz (uncodiert),Schweiz Kriterien,Bemerkungen
CCC719BF-D3D4-4865-B67D-7CC08AE73B66,,,,,,CR,vom Aussterben bedroht,B1ab(iv)+2ab(iv),
CCDA5B0A-090D-4734-9BA5-A8F5B0342C40,,,,K,insufficiently known,VU,verletzlich,D2,
CD09E782-DB9D-47C9-8E9A-DE426EEBD0DF,,,,,,LC,nicht gefährdet,,
CD3BDF3B-D648-47DD-BD17-7A223F36018E,,,,,,VU,verletzlich,D2,abhängig vom Moorschutz
CD4BB6C4-E63D-4983-BD12-7F39BBBA6AFE,,,,,,LC,nicht gefährdet,,
CDC7EB57-6BC2-4E34-8B33-D7B54C2AA4FB,,,,,,EN,stark gefährdet,B1ab(iv)+2ab(iv),abhängig vom Schutz der Trockenstandorte
CEBFA7A7-A194-4EE0-81D0-A7F6EBD88175,,,,,,DD,ungenügende Datengrundlage,,Taxonomie unklar
CF4DF9EF-8244-4821-A45E-D468ED15072B,,,,,,LC,nicht gefährdet,,
CF4EF9C6-4D22-481B-BF6D-8DB33153AF12,,,,,,NE,nicht evaluiert,,
CF6BE347-6FEC-4746-A929-52278AF396AF,,,,,,CR,vom Aussterben bedroht,A2b; B2ab(iv),
CFD54125-2C2D-4B4E-B2A3-BDC0BFCF8A5A,,,,,,,,,"in Europa erst seit 1969 als eigene Art anerkannt, bisher nicht in CH"
D017C14B-1990-4525-B615-9943C726B837,,,,,,LC,nicht gefährdet,,
D040AC45-9793-43C0-869D-52E8DEE72179,,,,,,LC,nicht gefährdet,,
D0ABCF4E-28BE-439A-B068-61F3B5683DBB,,,,,,LC,nicht gefährdet,,
D154373C-6BB0-446B-AB85-02BD5CC31DF1,,,,,,LC,nicht gefährdet,,
D16D8DF2-D07F-4ED9-971B-A0FDA77F21F3,,,,,,DD,ungenügende Datengrundlage,,"wird erst seit kurzem unterschieden, bisher 2 Funde"
D1C4344E-1B0F-4A6D-8363-49263EE0558F,,,,,,LC,nicht gefährdet,,
D1C56D1C-762B-48BD-A366-C47C12773CD2,,,,,,LC,nicht gefährdet,,
D20D8D01-1827-46E2-8D54-46B7A418D84E,,,,,,LC,nicht gefährdet,,
D2279B2A-0B40-4E13-82FC-59DDC1448E8C,,,,,,NE,nicht evaluiert,,
D23E8A0D-AD00-4FC4-A1BB-72CAC8C91044,,,,,,CR,vom Aussterben bedroht,B2ab(iv),
D2632159-3CEC-4A8F-9297-4EFA26F3B42C,,,,,,DD,ungenügende Datengrundlage,,Vorkommen in der Schweiz unsicher
D27520A4-C3F6-40D5-A487-105DB5205F7B,,,,,,LC,nicht gefährdet,,
D28A5CA0-1654-426F-9988-5DC0538E90D5,,,,V,vulnerable,DD,ungenügende Datengrundlage,,Vorkommen in der Schweiz unsicher
D2E7A5E8-E989-4401-AD0D-0E8C70710D6E,,,,K,insufficiently known,VU,verletzlich,D2,abhängig vom Schutz der Trockenstandorte
D2FAD057-55F5-47E3-98BA-0F3666F91EFA,,,,,,LC,nicht gefährdet,,
D31040CF-AD1A-4192-8F6A-5949838B17DD,,,,,,LC,nicht gefährdet,,
D328CD76-6CFA-4D38-A117-8762D65BA8B7,,,,R,rare,LC,nicht gefährdet,,
D38FE657-24F6-452B-991E-87B71D5D7F68,,,,,,NE,nicht evaluiert,,
D3BE0F1A-3F84-420C-A005-4AE2D11962A8,,,,,,LC,nicht gefährdet,,
D412F0B2-5B2B-4E52-A151-7B60B1799654,,,,,,LC,nicht gefährdet,,
D4574949-DB64-4AA4-8139-3843B33DDFDB,,,,,,CR,vom Aussterben bedroht,B2ab(iv),"möglicherweise ausgestorben, letzter Fund 1924"
D45F72CC-5473-4C50-A1E4-A5F8EB398B83,,,,,,CR,vom Aussterben bedroht,"B2ab(i,iv)",abhängig vom Schutz der Trockenstandorte
D48E5442-E1DD-46BF-84E7-3DC99062724B,,,,R,rare,VU,verletzlich,D2,
D49A5B9E-AABC-4BC2-A5E2-9E040F42F594,,,,,,LC,nicht gefährdet,,
D4A9A3FA-7D53-41A0-A4C3-545EB48C1969,,,,,,NE,nicht evaluiert,,
D4DD1123-C92A-4C2C-BDF3-536AE256E015,,,,,,DD,ungenügende Datengrundlage,,Vorkommen in der Schweiz unsicher
D4F5B598-CA8C-4C97-A1FB-4D09DC85F6D3,,,,,,EN,stark gefährdet,B1ab(iv)+2ab(iv),
D53A2271-2388-471C-B01D-CF80AFA129F8,,,,,,DD,ungenügende Datengrundlage,,Taxonomie unklar
D559ED95-B001-40AB-90FE-03ED64CE7BB2,,,,,,LC,nicht gefährdet,,im Mittelland gefährdet
D577BB50-CDBA-445C-8514-DB4C7C506504,,,,,,NT,potentiell gefährdet,,abhängig vom Moorschutz
D57995A1-722F-4764-80E9-05CE212D00E6,,,,,,EN,stark gefährdet,A2b; B1ab(iv)+2ab(iv),
D5850D57-8F06-42CE-B283-5680867E458E,,,,,,LC,nicht gefährdet,,
D5FCD35B-A45B-45FA-8C95-3E5DA808260F,,,,,,LC,nicht gefährdet,,
D620651E-E17A-444B-9C25-F12C3FC70346,,,,,,VU,verletzlich,D2,
D6F636FB-59D6-48FF-9DA3-EC224A8A91D4,,,,,,LC,nicht gefährdet,,
D6F96A1C-0F6C-4AF5-8429-C9D80FF30AA8,,,,,,NT,potentiell gefährdet,D2,
D72BE129-4EFD-4664-A4A2-DA029B4D992D,,,,,,CR,vom Aussterben bedroht,B2ab(iv),
D7633838-5824-4571-8E32-7B4ED97C7336,,,,,,DD,ungenügende Datengrundlage,,Taxonomie unklar
D77784D0-6C7E-4366-BDE0-1295DC089606,,,,,,CR,vom Aussterben bedroht,A2b; B1ab(iv)+2ab(iv),letzter Fund 1983
D7E1521F-9D47-4607-A800-FF18B0D7A7A9,,,,,,LC,nicht gefährdet,,
D7E3732F-C059-4537-9B44-7BA4B0D96297,,,,,,LC,nicht gefährdet,,
D843B07F-106D-4339-8152-26C2DD096D3D,,,,,,LC,nicht gefährdet,,
D864B5E2-77BF-4BB3-A3FD-658F9F58889C,,,,,,VU,verletzlich,D2,
D899C3FD-FBB2-4D91-8114-01D32C556501,,,,,,NT,potentiell gefährdet,A2b,abhängig vom Moorschutz
D8D09E37-564B-4297-A850-4A744FED485F,,,,,,VU,verletzlich,D2,abhängig vom Schutz der Trockenstandorte
D8E30FE9-4798-45BD-8EC1-6E8B383D1C00,,,,,,NE,nicht evaluiert,,
D91D4712-7A30-4CD9-A333-EEDFE34AFD79,,,,,,DD,ungenügende Datengrundlage,,Taxonomie unklar
D9449357-C4E1-4A72-9D6C-E281994C029D,,,,,,VU,verletzlich,D2,
D9D28FC7-639A-43F3-A457-9241644D0611,,,,,,LC,nicht gefährdet,,
D9DCBC2F-1F7F-4CA5-B557-030DB164DA22,,,,V,vulnerable,DD,ungenügende Datengrundlage,,"Vorkommen in der Schweiz unsicher, Beleg nicht auffindbar"
DA138E1E-D2C6-40E5-9AE7-0E2D5524EABB,,,,,,LC,nicht gefährdet,,abhängig vom Moorschutz
DA2C7163-EF84-44F6-868E-CEF42DDD55DF,,,,,,LC,nicht gefährdet,,
DAD79EBA-D779-47AF-9FD3-FE3D62F43380,,,,,,LC,nicht gefährdet,,
DB089E39-29DB-44D4-8196-E78E9B179C3C,,,,E,endangered,RE,in der Schweiz ausgestorben,,"letzter Fund im 19. Jh., Nachsuche der meisten Populationen erfolglos"
DB0A71F9-B2BB-44A7-B4A7-8DFDCD90D489,,,,,,LC,nicht gefährdet,,
DB878593-1EB9-4EF4-B0B0-9348BD1CB803,,,,,,DD,ungenügende Datengrundlage,,Taxonomie unklar
DB92D878-773D-4073-AB18-58B1FB0B1962,,,,R,rare,VU,verletzlich,D2,"Berggipfelmoos, wohl untersammelt"
DCFA2D9F-8295-4647-A816-772F2B44555A,,,,,,LC,nicht gefährdet,,
DCFAF3A1-DD33-4B49-86AB-4774C1E007DD,,,,,,NE,nicht evaluiert,,
DD23BCEA-50C7-4F59-93B6-6DD613F95544,,,,,,LC,nicht gefährdet,,
DD5A063A-9421-4619-B527-2E7A90F9097B,,,,,,LC,nicht gefährdet,,
DE14483E-8620-48C3-ACE8-A9B5A63F04DA,,,,,,LC,nicht gefährdet,,
DE2A65A4-48C2-4CBC-AA61-4D3394382B81,,,,,,NE,nicht evaluiert,,
DE57CC4E-DB50-471C-B1C6-F2053FC36914,,,,,,EN,stark gefährdet,A2b,
DF4EB2A5-7912-455A-B479-8ED92B10AE42,,,,,,NE,nicht evaluiert,,
DF85B807-2144-4234-BDA0-F5605E4EDDDE,,,,,,LC,nicht gefährdet,,abhängig von ökologischen Ausgleichsmassnahmen
DFF93707-B533-44B3-B886-7BDA9C432537,,,,V,vulnerable,RE,in der Schweiz ausgestorben,,"letzter Fund 1863, Nachsuche erfolglos"
E0164117-3B08-43EA-BDEB-105DDB91D651,,,,,,LC,nicht gefährdet,,
E026856B-DD1D-43D7-97FE-3A1B0EA97C45,,,,? R,rare?,DD,ungenügende Datengrundlage,,"Vorkommen in der Schweiz unsicher, Taxonomie unklar"
E15D3242-21B4-4E4E-B3A1-8430777FBCBA,,,,,,LC,nicht gefährdet,,
E18A0255-1B8A-4FBA-A6EA-F1B5F83AD87B,,,,,,NE,nicht evaluiert,,
E1E21993-C493-4471-AAC8-4410B44BDB29,,,,,,LC,nicht gefährdet,,
E1E74088-29F6-46BC-868C-2707697131EC,,,,,,LC,nicht gefährdet,,
E256E95D-BA30-4DF1-A474-E5CA5A58E86E,,,,,,LC,nicht gefährdet,,
E2703D86-BA48-49A6-BDC8-5DDDCDD97754,,,,,,NE,nicht evaluiert,,
E2AFFD63-86CC-4C80-898A-2E6AD7E79566,,,,,,NE,nicht evaluiert,,
E2D9FBCE-F178-4527-A08F-89395589841C,,,,,,LC,nicht gefährdet,,
E2EBFC43-E349-427C-82A3-959010F686C3,,,,,,VU,verletzlich,A2b; D2,
E37D36F3-28D6-442E-B4F0-B1FEDDFFAFF8,,,,,,LC,nicht gefährdet,,
E384412F-3AB1-44CC-AEC8-7C32C9BAC2CA,,,,,,LC,nicht gefährdet,,
E397E95E-9229-4C41-8B3C-56DF4070E48C,,,,V,vulnerable,EN,stark gefährdet,D2,"nur aus dem Tessin bekannt, Upgrading vorgenommen"
E39EB77E-8DC0-4E93-8482-C26F65894C82,,,,,,CR,vom Aussterben bedroht,B2ab(iv),"rezente Vorkommen nur noch im Wallis, abhängig vom Schutz der Trockenstandorte"
E3C9D453-0AFD-4593-B7A5-6C0BBF0F4483,,,,,,EN,stark gefährdet,B1ab(iv)+2ab(iv),
E4412CA6-85A4-418B-B510-F27BB1306F5C,,,,R,rare,VU,verletzlich,D2,
E473C1BD-D6CB-43BC-9932-023FB856FB20,,,,R,rare,VU,verletzlich,D2,
E4ADBC05-5532-4E9D-A44B-6144FA5CFA8A,,,,,,EN,stark gefährdet,A2b,
E4D4FCEA-6E70-479F-B1AB-C86585D51E71,,,,,,VU,verletzlich,A2b,abhängig vom Moorschutz
E59A8764-3DD0-48A3-BB9E-FBFBA097F081,,,,E,endangered,NE,nicht evaluiert,,
E5C0C4B8-232B-46B5-9A68-4FF03DE84D07,,,,,,LC,nicht gefährdet,,
E5E0BF4D-13ED-472D-A77F-A68A2195F2F6,,,,,,VU,verletzlich,D2,einziger Fund 1997
E620A6DC-1F9B-4E0B-8A74-66212F5C2EB4,,,,E,endangered,RE,in der Schweiz ausgestorben,,
E6345C26-B408-4949-8EF9-6E2C25FAF067,,,,,,LC,nicht gefährdet,,
E6781737-D161-43A3-A20E-8B671A3764E1,,,,R,rare,RE,in der Schweiz ausgestorben,,"letzter Fund 1928, Nachsuche fast aller Populationen erfolglos"
E6D93C3C-3D55-4BF7-9D87-48810280C0CF,,,,,,LC,nicht gefährdet,,
E6EF4357-8340-4A44-9587-11AACE29AA20,,,,,,LC,nicht gefährdet,,
E6F99016-8E95-494F-B6EC-7FDAAC7E66FB,,,,,,LC,nicht gefährdet,,
E6FA80A1-684F-4259-BC04-E7B0EDF5AFE9,,,,,,LC,nicht gefährdet,,
E71CCC06-DE6E-4152-B150-E07C05B4F6DF,,,,,,LC,nicht gefährdet,,
E76ECA18-641A-4C31-9AB8-6F404B5C9C8F,,,,,,VU,verletzlich,D2,einziger Fund 1984
E7CF8507-60B6-4A2F-814C-E38C38444F6E,,,,,,VU,verletzlich,D2,abhängig vom Schutz der Trockenstandorte
E7E8AC71-C79D-454C-99FD-6883B6B6CE12,,,,,,LC,nicht gefährdet,,
E81B2774-01C0-43CE-A96C-A9CE8DF8ADAC,,,,,,NE,nicht evaluiert,,
E86B3DA5-3163-4EC4-9764-316A6FC3B087,,,,,,VU,verletzlich,A2b,
E86D3464-9BE8-45DA-9EF7-4F3156A09941,,,,,,VU,verletzlich,D2,"möglicherweise ausgestorben, letzter Fund 1921"
E889BE0C-C700-442B-ADC4-2C1F548F52EF,,,,,,RE,in der Schweiz ausgestorben,,"einziger Fund 1914 (Saas Fee), Fundort wurde zerstört"
E8BB6F07-B17A-41BF-9BCA-DEBDEA0CF396,,,,,,LC,nicht gefährdet,,
E8CC2629-FB95-4FF1-A97D-C7FB6E4F5940,,,,,,LC,nicht gefährdet,,abhängig von ökologischen Ausgleichsmassnahmen
E95EAB25-BDA8-4A70-B586-21933C0654B8,,,,,,LC,nicht gefährdet,,
E9CF374E-D259-423C-B028-CDD6378968CB,,,,,,VU,verletzlich,D2,abhängig vom Schutz der Trockenstandorte
EA1C9557-769C-4BD3-9328-AE322DD35665,,,,,,VU,verletzlich,D2,
EA248E17-D82A-49FD-AEB0-E210AE4AFE86,,,,R,rare,VU,verletzlich,D2,
EA550EF0-1E11-47C6-AF83-1FF077BF3425,,,,,,LC,nicht gefährdet,,
EAA456B4-5871-469C-B5CD-2BF4B05E11C9,,,,,,CR,vom Aussterben bedroht,B2ab(iv),nur aus dem Tessin bekannt
EAD59D5B-362D-41ED-A77D-29497F340E3B,,,,,,NE,nicht evaluiert,,
EADC0F75-71B0-4FAE-9B34-B6869559907A,,,,,,LC,nicht gefährdet,,
EADC5139-A696-444B-956A-2AEBE0D97CE0,,,,K,insufficiently known,VU,verletzlich,D2,
EAFBFA72-4ABF-4846-897C-D34DC084D4B6,,,,,,VU,verletzlich,D2,
EB05AE2D-B30C-41B5-8800-1EA4732784C3,,,,R,rare,CR,vom Aussterben bedroht,B2ab(iv),
EB67724C-CC38-4D7D-A59A-0F6326CEE6C9,,,,,,LC,nicht gefährdet,,
EB77662F-F28C-4E21-9A9F-9B3025D54205,,,,,,LC,nicht gefährdet,,
EB7C148D-C92E-4977-9284-7E99CAD110B9,,,,,,LC,nicht gefährdet,,
EBC76E48-2030-477D-8185-089D2057F0AF,,,,,,NE,nicht evaluiert,,
EC05426B-33AF-44F1-9A4A-6B9C703285C1,,,,,,LC,nicht gefährdet,,
EC277CF7-DE6E-4D50-A07B-D768EED240FA,,,,,,RE,in der Schweiz ausgestorben,,"letzter Fund 1918, Nachsuche erfolglos"
EC4F5F77-6A1F-4124-AF53-9320F2B9D1B1,,,,,,LC,nicht gefährdet,,
ECA641D7-4528-4FA3-9695-85F866CEBCAA,,,,,,LC,nicht gefährdet,,
ECBFB233-2741-4B71-883D-195A76FF8B48,,,,K,insufficiently known,VU,verletzlich,D2,"möglicherweise ausgestorben, einziger Fund 1923, Suche erfolglos"
ECE22E7B-FDAC-4773-98DB-716885DB9D2C,,,,,,LC,nicht gefährdet,,
ED719F14-6FD5-477B-9997-1BABFCB90771,,,,,,LC,nicht gefährdet,,
ED73135C-A516-4C13-B7EF-19332E9AD7E0,,,,,,VU,verletzlich,D2,
ED96A0F1-A846-400F-BF44-9F7988873816,,,,,,LC,nicht gefährdet,,
EDD026A6-1484-4EF9-B689-4D97FEBE8A37,,,,,,NE,nicht evaluiert,,
EDDC9056-1CE9-41D0-8D0E-FFD32F4393E3,,,,,,NT,potentiell gefährdet,,abhängig vom Moorschutz
EE335934-C2DB-4B54-AD54-E54970D70F49,,,,,,LC,nicht gefährdet,,
EE729C64-525A-48C3-8B77-5D7A6EB942D6,,,,,,LC,nicht gefährdet,,im Jura gefährdet
EEBC6748-500A-447D-AD75-FC12AEE710E8,,,,,,DD,ungenügende Datengrundlage,,erst 2002 beschrieben
EEFE469B-4B14-42A1-9EE5-AC63AE53BDE6,,,,,,LC,nicht gefährdet,,
EF87CEBD-421C-46FA-B803-E0E3AB320635,,,,R,rare,VU,verletzlich,D2,
EF892F3F-1932-4587-B956-FA930C53E68B,,,,,,EN,stark gefährdet,B1ab(iv)+2ab(iv),
EFC9EA91-4CAB-4618-8C41-3039C4550886,,,,,,VU,verletzlich,D2,"möglicherweise ausgestorben, einziger Fund 1921, Suche erfolglos"
EFD89AA3-452E-4C88-8C5F-5F7309EB0C63,,,,,,LC,nicht gefährdet,,
EFE7D95A-00D9-497A-BD0E-559AC347398D,,,,,,LC,nicht gefährdet,,
F00744FA-2F67-4354-90C7-2F5AB2C327E2,,,,,,VU,verletzlich,D2,
F01856BC-D188-4193-99BB-F7F7AC004BDD,,,,,,VU,verletzlich,D2,
F055100F-A2C5-42BF-9378-6A8B99F8B1A0,,,,,,LC,nicht gefährdet,,
F065A741-3722-43AB-8737-33CFE9E2DEC7,,,,,,LC,nicht gefährdet,,
F092685A-84D3-44D8-BC77-5EF96C90D770,,,,,,VU,verletzlich,D2,
F0FEE9DE-E3F3-4131-971F-208FB98F6AE7,,,,,,LC,nicht gefährdet,,
F10CDEB2-34DB-4BAA-966C-A4E0D7427B28,,,,,,LC,nicht gefährdet,,
F11E9DCB-E20F-4FAA-90E2-FBC5B5044306,,,,,,VU,verletzlich,D2,einziger Fund 1998
F1400F5D-795C-4F1C-A81F-C6A055E7CB02,,,,,,VU,verletzlich,D2,
F15FEDC8-F082-40A3-B423-C8C4A806A9E7,,,,,,LC,nicht gefährdet,,abhängig vom Moorschutz
F18D085D-B330-42FA-A4F0-15D6AB8FA8C5,,,,R,rare,VU,verletzlich,D2,einziger Fund 1990
F1A42D08-F4A8-48D2-9DBE-E7D4173C399E,,,,,,NE,nicht evaluiert,,
F1B8A58F-968D-4548-B054-1033C1F85FF5,,,,,,LC,nicht gefährdet,,
F1CD8A50-DDEA-48C5-A5CA-0CD77200B839,,,,,,LC,nicht gefährdet,,
F1DFBF1E-44F3-4EE2-9CAF-3B6A8E966920,,,,,,LC,nicht gefährdet,,
F2EC9ABB-A00D-4838-8DFF-AA2CDE2B366E,,,,,,LC,nicht gefährdet,,
F34125D1-B03C-4718-802D-D273D0E49EEE,,,,,,LC,nicht gefährdet,,
F35006E3-1063-4CCF-A698-32A741C1DA28,,,,,,LC,nicht gefährdet,,
F35A411F-A531-4747-A830-1A1F210BCBC7,,,,,,DD,ungenügende Datengrundlage,,Taxonomie unklar
F36A605E-0E8B-45D8-BB0A-435BBD24A473,,,,,,VU,verletzlich,D2,letzter Fund 1976
F391C920-2174-418D-BC32-176063B94610,,,,,,EN,stark gefährdet,B1ab(iv)+2ab(iv),abhängig vom Moorschutz
F3F06870-AECA-41F6-8548-45B4643D6F57,,,,K,insufficiently known,CR,vom Aussterben bedroht,B1ab(iv)+2ab(iv),"möglicherweise ausgestorben, letzter Fund erste Hälfte des 20 Jh."
F437D2DA-B2C8-43E2-AABE-BDC847C25A1B,,,,,,LC,nicht gefährdet,,
F43ED053-CFC3-47DA-BD4F-69812FBC30F3,,,,,,EN,stark gefährdet,A2b; B1ab(iv)+2ab(iv),abhängig vom Gewässerschutz
F4C9A724-FCF2-4A46-B5DF-AB0D3F1A6393,,,,,,LC,nicht gefährdet,,im Mittelland ausgestorben
F4DC8CAE-D8F9-42CE-B84B-FD1B1270F203,,,,,,DD,ungenügende Datengrundlage,,
F4E0D806-479E-440E-B527-59DD7FF2A4F1,,,,,,LC,nicht gefährdet,,
F4ECA617-E492-493F-8E07-4B4A276CECC0,,,,,,NT,potentiell gefährdet,D2,
F5415CBD-B100-4137-BE9C-9E765CE5A7C3,,,,,,VU,verletzlich,D2,
F5624CF3-5F89-4DA1-B94F-9B8606F99046,,,,,,VU,verletzlich,D2,
F57F4B8C-85C8-4D8E-9BE7-E4BBBFE968C0,,,,,,VU,verletzlich,A2b,"im Jura stärker gefährdet, letzter Fund dort 1903"
F5C864B6-AFDB-4FA6-AC3B-92F6B6F903A4,,,,,,NE,nicht evaluiert,,
F5CCD796-B678-4797-8B54-B6AC6F12403F,,,,R,rare,VU,verletzlich,D2,
F621AA02-3B8E-4A46-917B-FEC46DCFE45B,,,,,,LC,nicht gefährdet,,
F629C13A-E17B-4DE7-9856-2887CEF24653,,,,,,LC,nicht gefährdet,,
F65A6B43-80A8-4D3E-8E6E-5745DCA4D76A,,,,,,LC,nicht gefährdet,,
F6C847A5-52D7-49C0-808D-5126A9E522E3,,,,,,LC,nicht gefährdet,,
F6CCEE91-A403-43E0-8EC6-CA99970263D8,,,,,,VU,verletzlich,D2,
F6E4C516-1C7B-4DE2-8737-EA7020475F53,,,,,,NT,potentiell gefährdet,D2,
F6E9007A-0F4F-42DF-82B9-A5143261657C,,,,,,NT,potentiell gefährdet,D2,bisher nur im westlichen Teil der Schweiz gefunden
F6FD8C59-D76C-4127-B0A7-9FF1D3B4450B,,,,,,LC,nicht gefährdet,,
F72D42F5-4119-458F-B7B7-30A967B6EBD5,,,,,,NE,nicht evaluiert,,
F754484C-A658-466D-B560-7058817140D4,,,,,,LC,nicht gefährdet,,
F7745805-B2F3-4749-B1BA-E185D50740D1,,,,,,VU,verletzlich,D2,kommt nur in der Südschweiz vor
F7B66DAF-6920-4FBD-BB88-3D3FF2A0C8F1,,,,,,LC,nicht gefährdet,,
F7E37C87-B652-40E5-ABF6-3449F5051A45,,,,,,LC,nicht gefährdet,,
F8883B91-9999-4DBC-A13E-BCAB816F1C5D,,,,,,LC,nicht gefährdet,,
F88B465B-D47E-4485-B0BD-24FD4EBFAEAE,,,,,,LC,nicht gefährdet,,
F88CC6BD-635C-4DA2-A531-61FB3305EA35,,,,,,VU,verletzlich,D2,
F8A790AC-7559-4222-96F3-58EF3C2F6F2A,,,,V,vulnerable,EN,stark gefährdet,B1ab(iv)+2ab(iv),
F8BA2EBE-194D-433D-8457-6CC0CD60D62F,,,,,,CR,vom Aussterben bedroht,A2b; B1ab(iv)+2ab(iv),letzter Fund 1979
F8C2C2AD-4E6B-4F58-9D36-2306BAF528FC,,,,,,LC,nicht gefährdet,,
F99AFE33-8107-4D91-BC0C-6A0D107FB240,,,,,,LC,nicht gefährdet,,
FA1D27AA-6B73-4D65-A65E-C9A8D6DA66C0,,,,,,VU,verletzlich,D2,
FA315687-3D22-4048-B20C-79491AA7B823,,,,,,LC,nicht gefährdet,,
FA4188D2-1948-4C35-A89D-BEB7A8593465,,,,,,LC,nicht gefährdet,,
FABCA5F7-C34E-40F5-8EFD-0615DF644497,,,,E,endangered,RE,in der Schweiz ausgestorben,,"letzter Fund 1917, Nachsuche aller Populationen erfolglos"
FAF0123C-F33E-4389-B05E-9356962A7DD7,,,,,,LC,nicht gefährdet,,
FAF7BF10-5F16-41D0-816D-611AEB9CFC99,,,,,,VU,verletzlich,D2,"möglicherweise ausgestorben, einziger Fund um 1930, Nachsuche erfolglos"
FAFA0F4E-F67C-4317-A3B8-C270BF3B97DE,,,,V,vulnerable,CR,vom Aussterben bedroht,B2ab(iv),"möglicherweise ausgestorben, letzter Fund 1915, Nachsuche mehrerer Populationen erfolglos"
FB18B4CC-C22F-46DF-AC94-EB8FF0FD62BF,,,,,,NE,nicht evaluiert,,
FB56E552-252A-40CC-8B55-5F657EF2EB99,,,,,,LC,nicht gefährdet,,
FB5AF036-E6AB-49F6-9F19-489400A2353D,,,,,,LC,nicht gefährdet,,
FB8372BB-B287-44BC-9575-8F37B8693973,,,,,,NE,nicht evaluiert,,
FB9D6996-BD09-4B1A-9EFC-839ABA2C5E0A,,,,,,LC,nicht gefährdet,,
FBD8B029-D4B5-42D9-A497-E94F06C1FAA7,,,,,,LC,nicht gefährdet,,abhängig vom Moorschutz
FBF88A8F-7DBF-4955-AE93-4CB4C0CEA71A,,,,,,LC,nicht gefährdet,,
FBFAB15D-3628-4DB6-82E8-F26B6DF9BA81,,,,K,insufficiently known,DD,ungenügende Datengrundlage,,
FC18C650-DBBA-4FE4-B909-30EE7B80C91D,,,,,,DD,ungenügende Datengrundlage,,Vorkommen in der Schweiz unsicher
FC3E982A-1CAF-4123-B11C-1B33144E2D19,,,,,,VU,verletzlich,D2,abhängig vom Moorschutz
FC574AAC-BE8C-448B-B3B0-FC5F12933C17,,,,R,rare,VU,verletzlich,D2,
FC83014A-B11E-47A6-8597-1A0F8051F6F3,,,,,,LC,nicht gefährdet,,
FCBACE41-F6D7-41CE-A031-0C7A5AC89ED3,,,,,,LC,nicht gefährdet,,
FD127BC3-1483-46C3-82E0-799B7702F265,,,,,,LC,nicht gefährdet,,
FD2FFDB1-3A27-44E8-AAD3-5B71CDFC0237,,,,,,LC,nicht gefährdet,,abhängig vom Moorschutz
FD6F25D9-4CFB-4C74-99C6-3D7420B102B4,,,,,,LC,nicht gefährdet,,abhängig vom Moorschutz
FD7A9862-EF84-48BD-9E2C-F3E65ECDAFA3,,,,,,DD,ungenügende Datengrundlage,,
FD89BC12-19A7-4ED5-AE03-70DC4172360A,,,,,,VU,verletzlich,D2,abhängig vom Schutz der Trockenstandorte
FD8CA3CA-2EA9-46FA-8EE7-01091280F0C8,,,,,,LC,nicht gefährdet,,
FDA6427E-C366-4EC0-922F-C65F798F09A2,,,,,,NE,nicht evaluiert,,
FDBC3942-2673-427D-B52E-DB7949B02EEA,,,,,,LC,nicht gefährdet,,"wird erst seit kurzem unterschieden, scheint jedoch nicht selten"
FDD7A35B-07D7-4132-9775-FDEDDCC5DEB8,,,,K,insufficiently known,VU,verletzlich,D2,abhängig vom Schutz der Trockenstandorte
FDD8CBFD-AF2F-400F-9723-A067A4D604EB,,,,,,VU,verletzlich,D2,abhängig vom Schutz der Trockenstandorte
FE08950B-9BBE-41AF-80B0-253264E4F96C,,,,,,LC,nicht gefährdet,,
FE73DC7A-1520-47F5-B6EC-BBDBFE603204,,,,,,VU,verletzlich,A2b; D2,
FED0FDBE-283E-48FD-BFB9-E4E902611277,,,,,,LC,nicht gefährdet,,im Mittelland selten
FEF996CE-5A93-471D-BE03-29FAD327AAC6,,,,,,LC,nicht gefährdet,,
FFCABFB4-84CA-4CD8-A190-7DEDFE95B084,,,,R,rare,VU,verletzlich,D2,
