guid ausgelesen,Schweiz (codiert),Schweiz (uncodiert),Schweiz Kriterien,Remarques,Bemerkungen,Osservazioni
9CE95541-712B-48FF-853F-B417A390F104,LC,Nicht gefährdet,,,,
4CA74B8C-8834-4321-B8DB-055B0C202950,EN,Stark gefährdet,"B2a, B2b(iv)","Forêts, Milieux construits, Roches et éboulis","Wälder, Siedlungsgebiete, Felsen und Steinschutt","Boschi, ambienti edificati, rocce e ghiaioni"
D7F5A52B-592D-44D3-AE6E-6988580A6D68,LC,Nicht gefährdet,,,,
830EAD8F-E72A-448D-8DA3-09289E45E755,LC,Nicht gefährdet,,,,
5B9D75D7-347E-4A22-9073-AB6EC896DD8A,LC,Nicht gefährdet,,"Non-indigène au Nord des Alpes, 1843",Nicht-einheimisch auf der Alpennordseite seit 1843,"Non-indigena al nord delle Alpi,  dal 1843"
95545722-6AF5-43A6-865F-BD8AC166636E,EN,Stark gefährdet,"B2a, B2b(i, ii, iii, vi)",Etangs et zones alluviales des grands cours d’eau,Weiher und Auengebiete der grossen Fliessgewässer,Stagni e zone alluvionali di grandi corsi d'acqua
E76E1F03-3E66-4D9F-B13B-755638BC6D4D,LC,Nicht gefährdet,,,,
B3781986-DD81-4BAC-8C24-185A42FBF589,EN,Stark gefährdet,"B2a, B2b(iii, iv)",Zones alluviales des grands cours d’eau,Auengebiete der grossen Fliessgewässer,Zone alluvionali di grandi corsi d'acqua
2B4EE3D4-F9F9-44F9-8837-15608B903FA1,LC,Nicht gefährdet,,,,
815F96D2-282B-4CC1-9AB6-B5EB2C902883,EN,Stark gefährdet,"B2a, B2b(iii, iv)",Marais liés aux grands lacs et fleuves,Moore in Kontakt mit grossen Seen und Flüssen ,Paludi legate a grandi laghi e fiumi
13DCEF9E-795D-4A9E-9CDC-792EAB358EE2,EN,Stark gefährdet,"B2a, B2b(iii)",Rives des grands lacs et fleuves,Ufer der grossen Seen und Flüsse,Rive des grands laghi e fiumi
4F60EB34-B47B-4590-990E-4A15449455B7,LC,Nicht gefährdet,,,,
74B74BA0-74F8-4397-B424-F9574C167198,VU,Verletzlich,"B2a, B2b(iii,iv)","Sources, Tessin","Quellen, Tessin","Sorgenti, Ticino"
A1CF4251-551F-4D55-A6E7-0031FF2B63B0,NT,Potenziell gefährdet,,Sources et nappes souterraines,Quellen und unterirdische Grundwasser,Sorgenti e falde sotterranee
A333D066-C5A6-4BE4-A7CA-6A276DD9CA26,VU,Verletzlich,"B2a, B2b(iii, iv)","Sources et cours d’eau souterrains, endémique","Quellen und unterirdische Gewässer, endemisch","Sorgenti e corsi d'acqua sotterranei, endemismo"
B043E16D-435A-42D5-AA25-2415F72CF415,NT,Potenziell gefährdet,,Sources et cours d’eau souterrains,Quellen und unterirdische Gewässer,Sorgenti e corsi d'acqua sotterranei
0A026397-00C5-4D7A-8459-C9FEE735595D,NT,Potenziell gefährdet,,Sources et cours d’eau souterrains,Quellen und unterirdische Gewässer,Sorgenti e corsi d'acqua sotterranei
BF36A9DC-23B5-46B9-B760-732D0EFAF634,VU,Verletzlich,"B2a, B2b(iii,iv)",Sources et nappes souterraines,Quellen und unterirdische Grundwasser,Sorgenti e falde sotterranee
F7B45EC7-5991-436A-9B88-31B27A8A75D4,VU,Verletzlich,"B2a, B2b(iii,iv)","Sources et cours d’eau souterrains, endémique","Quellen und unterirdische Gewässer, endemisch","Sorgenti e corsi d'acqua sotterranei, endemismo"
9E407250-16F5-4CDD-A644-F803283B69F0,NT,Potenziell gefährdet,,Sources et cours d’eau souterrains,Quellen und unterirdische Gewässer,Sorgenti e corsi d'acqua sotterranei
437E6995-327A-45FE-9FF3-437002DF28FB,NE,Nicht beurteilt,,"Introduite, première mention Lac de Neuchâtel, 1998","Eingeführt, erste Fundmeldung Neuenburgersee, 1998","Introdotta, prima segnalazione nel Lago di Neuchâtel, 1998"
17F692E6-2C44-4899-8EF8-13D44FD666C2,RE,In der Schweiz ausgestorben,,"Zone littorale de plans d’eau, dernière mention 1957","Uferzone der Stehgewässer, letzter Nachweis 1957","Zone litorali di specchi d'acqua, ultima segnalazione nel 1957"
3BBD0D73-4C91-490C-A27B-B20B372089B3,VU,Verletzlich,"B2a, B2b(ii)","Ecotones, Forêts","Säume, Wälder","Ecotoni, boschi"
591BB624-D072-44EA-A55C-162BCDD73CF9,NE,Nicht beurteilt,,"Introduite, première mention Untersee, 1972","Eingeführt, erste Fundmeldung Untersee, 1972","Introdotta, prima segnalazione nell'Untersee, 1972"
78BA48DB-DDB0-4704-A876-1973D9795016,CR,Vom Aussterben bedroht,"B2a, B2b(iii, iv)","Cours d’eau, grands lacs",Steh- und Fliessgewässer,"Corsi d'acqua, grandi laghi"
C2368340-A376-4016-8A89-69E43CFBD36E,NE,Nicht beurteilt,,1 individu XIXe siècle Nyon; espèce ouest méditerranéenne,"1 Individuum bei Nyon, 19. Jht., west-mediterrane Art",1 individuo a Nyon nel XIX secolo; specie mediterranea occidentale
16B19F3A-207B-4DE9-8BFD-2A6420FA6643,LC,Nicht gefährdet,,,,
F629B4E3-00B7-4E4B-B8F6-949021D8D358,LC,Nicht gefährdet,,,,
9869E234-37A2-493E-A9A3-DFCFE0B77DCE,LC,Nicht gefährdet,,,,
2A4AD650-960B-40C3-BD84-0E7B4259794D,LC,Nicht gefährdet,,,,
782C3C24-15FA-4D4F-90D3-0096F30D2AD0,LC,Nicht gefährdet,,,,
055B2660-13CB-4DC1-970F-B22B2C97D7DB,LC,Nicht gefährdet,,,,
D8E97958-1E58-45CD-B23C-62B58ACA6A5F,EN,Stark gefährdet,"B2a, B2b(iv)",Forêts,Wälder,Boschi
F508BBA1-1CBE-4AB4-9521-4594040C54D7,LC,Nicht gefährdet,,,,
45BCC780-50F3-46CB-9F4E-3EC95021E384,LC,Nicht gefährdet,,Introduite sous le nom de A. leucostoma dans la BdD_CSCF,Eingeführt unter dem Namen A. leucostoma in DB_CSCF,Introdotta nella BD-CSCF con il nome di A. leucostoma
4D27C83C-AAEE-4751-B899-3FD48FA7A105,EN,Stark gefährdet,"B2a, B2b(i, ii, iii, iv)",Marais,Moore,Paludi 
48AF2F2D-FA2B-4F7A-9FE8-90023373CB3B,VU,Verletzlich,"B2a, B2b(iii)",Plans d’eau et marais,Stehgewässer und Moore,Specchi d'acqua e paludi 
D2F05235-29B9-4EDA-B81F-0E45A609EC47,EN,Stark gefährdet,"B2a, B2b(i, ii, iii, iv)",Plans d’eau riches en plantes aquatiques,Pflanzenreiche Stehgewässer,Specchi d'acqua ricchi di piante acquatiche
70E76DA9-B129-447E-A0BE-97D6DDB1CF6F,NT,Potenziell gefährdet,,Rives lacustres et marais,Seeufer und Moore,Rive lacustri e paludi 
51FA2D9B-44D8-40CC-9B20-01B95558C4D5,VU,Verletzlich,"B1,B2b2(ii)","Forêts, Milieux construits, Roches et éboulis","Wälder, Siedlungsgebiete, Felsen und Steinschutt","Boschi, ambienti edificati, rocce e ghiaioni"
D322E7C6-C796-4764-87F0-4AF51D52F8FC,LC,Nicht gefährdet,,,,
D2218C6C-7DD0-47A5-9FA5-C2940CD6605D,DD,Ungenügende Datengrundlage,,Souvent confondues; tout le matériel à revoir; pas retrouvée durant LR,Oft verwechselt; Gesamtbelege zu überprüfen; währen RL nicht gefunden,"Spesso confusa; I'insieme degli esemplari conservati è da revisionare, non è stata trovata nel corso della LR"
85793E86-1134-4F8F-8AE7-A54100A3AE2E,LC,Nicht gefährdet,,,,
99AF2430-7BC1-4030-99BE-65171F7869B9,DD,Ungenügende Datengrundlage,,Pas retrouvée; données insuffisantes pour statuer,Nicht wiedergefunden; ungenügende Funde für Evaluation,Non ritrovata; dati insufficienti per la valutazione dello status
24D540E6-750F-4D5E-8FE6-84A96328FF82,LC,Nicht gefährdet,,,,
C626C816-F0A9-4334-AB67-3C1EB10049CA,LC,Nicht gefährdet,,,,
ED43FEBF-073B-4CE4-AD2D-F357F4010629,VU,Verletzlich,"B2a, B2b(i-v)",Forêts,Wälder,Boschi
E8D1713E-D215-4D2B-852A-BBED8B274D81,NE,Nicht beurteilt,,Introduit,Eingeschleppt,Introdotta
72415FB0-E8AA-4D7B-B462-DCAE1469DCB8,VU,Verletzlich,B2b(iv),Forêts,Wälder,Boschi
54598D53-45AC-400F-9705-1D47EB15F243,LC,Nicht gefährdet,,,,
9E2A7752-2FEB-4125-9DCC-527D0F8A13E4,DD,Ungenügende Datengrundlage,,,,
D28B020E-161E-42CC-AABE-E853FAB9C8DC,VU,Verletzlich,"B2a, B2b(iv), B2c(iv)","Milieux construits, Roches et éboulis","Siedlungsgebiete, Felsen und Steinschutt","Ambienti edificati, rocce e ghiaioni"
6F54955A-F00D-48E6-AC16-6A7D017F57C2,LC,Nicht gefährdet,,,,
C329EF6A-70EB-459F-AC09-8FD06A64FF59,NE,Nicht beurteilt,,Introduit,Eingeschleppt,Introdotta
364C07F4-6DCE-490D-9880-C65CCCF5D394,CR,Vom Aussterben bedroht,B2b(iv),Forêts,Wälder,Boschi
416F04A2-F80B-4951-916D-1209A8BD4F13,VU,Verletzlich,B2b(iv),Prairies et pâturages,Wiesen und Weiden,Prati e pascoli
167D7AC5-0B79-4D10-891A-BE302E92DD11,LC,Nicht gefährdet,,,,
115868F8-8AE0-426E-833A-646BDB9A2625,LC,Nicht gefährdet,,,,
E9EBD501-B35C-4E1B-B20B-BFBA02F3A6B3,VU,Verletzlich,"B2a, B2b(iv)","Ecotones, Forêts, Roches et éboulis","Säume, Wälder, Felsen und Steinschutt","Ecotoni, boschi, rocce e ghiaioni"
FEE88A97-0519-4D16-85F3-0C2EDA708FBF,LC,Nicht gefährdet,,,,
4AB9FC05-DCA0-4507-8A36-AC181A34305C,CR,Vom Aussterben bedroht,"B2a, B2b(i, iii, iv)",Roches et éboulis,Felsen und Steinschutt,Rocce e ghiaioni
2D13140F-2D1D-4B21-96C1-FC0DB7DB81D4,LC,Nicht gefährdet,,,,
85F35B75-9227-4F5F-B9DF-D82DF377C971,LC,Nicht gefährdet,,,,
C53027BB-64CE-4834-8D2E-FF61D11993C7,LC,Nicht gefährdet,,,,
20716D96-730C-4377-AE0B-617AF8327B9A,NE,Nicht beurteilt,,Introduit,Eingeschleppt,Introdotta
A732036E-7F75-4C7B-9AC8-7F4188EFAACC,CR,Vom Aussterben bedroht,"B2a, B2b(iv)",Roches et éboulis,Felsen und Steinschutt,Rocce e ghiaioni
DC656C4D-B88B-4DDC-A3D1-FE2295636AD8,LC,Nicht gefährdet,,,,
5350BD9F-4AF5-4B8C-B453-7EDF77C76604,EN,Stark gefährdet,"B2a, C2a(i)",Forêts,Wälder,Boschi
C9FE864A-CCFE-47ED-A385-3C8D35BC0D17,EN,Stark gefährdet,"B2a, B2b(iv)","Forêts, Roches et éboulis","Wälder, Felsen und Steinschutt","Boschi, rocce e ghiaioni"
AD03DDA3-5FED-46F6-A802-BD767279933B,EN,Stark gefährdet,"B2a, B2b(i, ii, iii, iv)","Forêts, Roches et éboulis","Wälder, Felsen und Steinschutt","Boschi, rocce e ghiaioni"
8EB7CF3E-5F22-4521-9C21-29C25FBCB4CB,VU,Verletzlich,"B1, B2b(iv)","Milieux construits, Roches et éboulis","Siedlungsgebiete, Felsen und Steinschutt","Ambienti edificati, rocce e ghiaioni"
A4CBDF6F-7ED2-4AA1-9985-905336A80267,CR,Vom Aussterben bedroht,"B2a, B2b(iv)","Milieux construits, Roches et éboulis","Siedlungsgebiete, Felsen und Steinschutt","Ambienti edificati, rocce e ghiaioni"
0A393B40-086D-491A-9502-115B6BCE79C6,RE,In der Schweiz ausgestorben,"B2a, B2b(iv)",Roches et éboulis,Felsen und Steinschutt,Rocce e ghiaioni
3F18C005-9C47-48F8-965E-D750FDC5E28E,LC,Nicht gefährdet,,,,
F382ECE6-7986-4177-84DC-E33FDCA200F5,DD,Ungenügende Datengrundlage,,Limite d'aire; mentions suisses peu précises; pas retrouvée,Am Rande seines Verbreitungsareals; ungewisse Fundmeldungen CH; nicht wiedergefunden,Al limite dell'areale; segnalazioni in Svizzera poco precise; non ritrovata
FD9CBC61-E275-4501-B8C1-A63E31926033,LC,Nicht gefährdet,,,,
5CF0FB80-B824-4F49-A99B-67DF05C43687,EN,Stark gefährdet,"B2a, B2b(iii)","Milieux construits, Roches et éboulis","Siedlungsgebiete, Felsen und Steinschutt","Ambienti edificati, rocce e ghiaioni"
83D4A374-A9FD-49F6-BE58-F1650667E95F,CR,Vom Aussterben bedroht,"B2a, B2b(i, iii, iv)",Roches et éboulis,Felsen und Steinschutt,Rocce e ghiaioni
9C2FD749-04D2-4389-A4D0-1B2E6AD9C5FC,EN,Stark gefährdet,"B2a, B2b(iv)",Prairies et pâturages,Wiesen und Weiden,Prati e pascoli
7F25706D-9BA8-4A06-BE61-393120601443,NT,Potenziell gefährdet,B2,"Forêts, Milieux construits, Roches et éboulis","Wälder, Siedlungsgebiete, Felsen und Steinschutt","Boschi, ambienti edificati, rocce e ghiaioni"
16C9CCB5-EC58-46B6-AFDF-DD017C07D3FF,NT,Potenziell gefährdet,B2,Forêts,Wälder,Boschi
4B42B278-9C43-40E4-9EC4-22F0839C1596,LC,Nicht gefährdet,,,,
94AF2199-0F02-4B44-A31A-6F2AFFB6A6E0,LC,Nicht gefährdet,,,,
74565C78-4C7C-4312-B793-F0397F469397,LC,Nicht gefährdet,,,,
741D820D-EC7D-4BC2-9FAF-9F5E88190484,LC,Nicht gefährdet,,,,
3BAA5D7F-CA45-4601-8AF7-840AED3FC262,LC,Nicht gefährdet,,,,
3E2DAFAC-5BBC-4ED0-BB98-67AD1724A114,CR,Vom Aussterben bedroht,"B2b(iii, iv)","Forêts, Rives et milieux humides","Wälder, Ufer und Feuchtgebiete","Boschi, rive e ambienti umidi"
72A96599-CA74-44A1-A0DC-83545957ACF1,NE,Nicht beurteilt,,5 mentions; statut taxinomique incertain,5 Fundmeldungen; Taxon ungewiss,5 segnalazioni; status tassonomico incerto
7ACA2B62-DFD2-4A37-9418-1B476EF8F072,EN,Stark gefährdet,"B2a, B2b(iv)","Forêts, Roches et éboulis","Wälder, Felsen und Steinschutt","Boschi, rocce e ghiaioni"
38687BEE-43B5-4901-B6AF-A423EE172EF3,LC,Nicht gefährdet,,,,
74EC1D7F-E5AE-482B-9C7E-A9BF394E77C3,LC,Nicht gefährdet,,,,
7D2BDC48-979D-4758-815F-EB5CCDFDB62F,EN,Stark gefährdet,"B2a, B2b(iv)","Forêts, Roches et éboulis","Wälder, Felsen und Steinschutt","Boschi, rocce e ghiaioni"
4E48F6F4-76A8-41AC-8C64-70051E3787E2,DD,Ungenügende Datengrundlage,,Découverte 1993; données insuffisantes pour statuer,Entdeckt 1993; ungenügende Datengrundlage für Evaluation,Scoperta nel 1993; dati insufficienti per la valutazione dello status
8FF63331-1558-42E5-A622-9AFE27C7293F,LC,Nicht gefährdet,,,,
B3515B59-8106-40CF-A68B-8EDBB12CF75D,LC,Nicht gefährdet,,,,
E7CC86D5-9F36-46E4-B1B4-A51632425F36,LC,Nicht gefährdet,,,,
E2671052-1108-4A72-A070-6DB556E72CBE,EN,Stark gefährdet,"B2a, B2b(iv)",Forêts,Wälder,Boschi
71319B1F-D12E-435E-9C1C-C0001F64656B,VU,Verletzlich,"B1, B2a",Forêts,Wälder,Boschi
153D9B8F-CCF7-484D-A80A-1A7214EB01FA,NE,Nicht beurteilt,,2 sites près de Ramosch; origine méditerranéenne,2 Funde bei Ramosch; mediterranen Ursprungs,in 2 luoghi presso Ramosch; origine mediterranea
1364AD2E-4471-484C-8077-2FB788F41CDC,LC,Nicht gefährdet,,,,
A90973B0-284B-445F-8ED4-C6B0AC0D812D,NE,Nicht beurteilt,,Introduit,Eingeschleppt,Introdotta
A3A026BA-0E59-4598-A654-138370996A9E,NT,Potenziell gefährdet,B2,"Forêts, Rives et milieux humides","Wälder, Ufer und Feuchtgebiete","Boschi, rive e ambienti umidi"
CFA07EED-4444-4339-A82B-3F77266194EB,NE,Nicht beurteilt,,Introduit,Eingeschleppt,Introdotta
87825807-8BFF-4C44-94F2-2F26E0BDEEF2,LC,Nicht gefährdet,,,,
B96092C1-1635-40F7-8626-2C739CFEA760,NE,Nicht beurteilt,,Introduit?,Eingeschleppt?,Introdotta?
FE5BAFD7-3BE7-4863-83C6-A6A0150C4ED6,LC,Nicht gefährdet,,,,
A8344A84-8AEC-4F2F-BA26-D1C30171FF79,LC,Nicht gefährdet,,,,
5A6B8C69-FC13-4AA4-8B2D-5E79028E8D30,VU,Verletzlich,"B1b(i, ii), B2b(i, ii)",Forêts,Wälder,Boschi
7EC55AB6-4913-4F47-A77B-43ECDECA122D,LC,Nicht gefährdet,,,,
58C3FF9E-5996-4816-965D-0A7AEDA35C60,LC,Nicht gefährdet,,,,
C61601E7-6DCA-4A7F-86FA-7A3FC6E512B3,VU,Verletzlich,"B2a, B2b(iv)",Roches et éboulis,Felsen und Steinschutt,Rocce e ghiaioni
96FF6CCE-120B-48C5-B59A-BD63390C9504,VU,Verletzlich,"B2a, B2b(iv)",Roches et éboulis,Felsen und Steinschutt,Rocce e ghiaioni
31BFE1F4-3134-4BB7-9E45-366713C08E8B,EN,Stark gefährdet,"B2a, B2b(iv)",Roches et éboulis,Felsen und Steinschutt,Rocce e ghiaioni
FB4E3E49-4886-4C2D-9FFB-97790B4CBF01,LC,Nicht gefährdet,,,,
3D488933-CBFB-47C6-A82D-63FFF64F2929,NT,Potenziell gefährdet,B2,Rives et milieux humides,Ufer und Feuchtgebiete,Rive e ambienti umidi
5CC8CA06-24F0-490C-8160-A02BECD43705,DD,Ungenügende Datengrundlage,,Statut taxinomique peu clair,Taxonomische Unsicherheit,Status tassonomico poco chiaro
3BD66F41-9B0F-4FC8-B333-1EC3A2F9B4FD,NT,Potenziell gefährdet,"B2a, B2b(iii)","Forêts, Milieux construits, Prairies et pâturages, Roches et éboulis","Wälder, Siedlungsgebiete, Wiesen und Weiden, Felsen und Steinschutt","Boschi, ambienti edificati, prati e pascoli, rocce e ghiaioni"
1CB71477-C254-403D-BAC9-01BF79DB7DBE,NE,Nicht beurteilt,,"Introduite, première mention Lago di Muzzano, 1957","Eingeführt, erste Fundmeldung Lago di Muzzano, 1957","Introdotta, prima segnalazione ne Lago di Muzzano, 1957"
F1871F30-1BDB-4BB8-8664-2CD1DCAF59BC,NE,Nicht beurteilt,,1 individu XIXe siècle Lugano; espèce ouest méditerranéenne,"1 Individuum bei Lugano 19. Jht., west-mediterrane Art",1 individuo a Lugano nel XIX secolo; specie mediterranea occidentale
1FE9DACF-FCCF-4C48-A46B-42AD082CB565,LC,Nicht gefährdet,,,,
A364B365-4BC6-483E-98F1-FE03CEBF8354,LC,Nicht gefährdet,,,,
8EC3EA02-721D-4B0C-9B51-FD3AE660C574,VU,Verletzlich,"B2a, B2b(iii)","Prairies et pâturages, Roches et éboulis","Wiesen und Weiden, Felsen und Steinschutt","Prati e pascoli, rocce e ghiaioni"
1895CB6B-039A-4869-909A-CF6557F71DBF,EN,Stark gefährdet,"B2a, B2b(iii)","Milieux construits, Prairies et pâturages, Roches et éboulis","Siedlungsgebiete, Wiesen und Weiden, Felsen und Steinschutt","Ambienti edificati, prati e pascoli, rocce e ghiaioni"
64924A52-4074-4F71-9E8C-6B1D4C91C9B0,EN,Stark gefährdet,"B2a, B2b(iii)","Roches et éboulis, Milieux construits, Prairies et pâturages","Felsen und Steinschutt, Siedlungsgebiete, Wiesen und Weiden","Rocce e ghiaioni, ambienti edificati, prati e pascoli"
467A2164-E728-4D04-B43F-0D3314121BEB,EN,Stark gefährdet,"B2a, B2b(iv)","Prairies et pâturages, Roches et éboulis","Wiesen und Weiden, Felsen und Steinschutt","Prati e pascoli, rocce e ghiaioni"
AFC3F4B5-D03C-46D6-AFCE-351514163477,EN,Stark gefährdet,"B2a, B2b(iii, iv)",Fonds graveleux des lacs et fleuves,Kiesiger Grund der Seen und grossen Fliessgewässer,Fondali ghiaiosi di laghi e fiumi
6DC34ADF-E973-42E1-A394-B8374352E3DD,LC,Nicht gefährdet,,,,
3E3EAA98-FD91-4EFE-8938-45875914337E,NT,Potenziell gefährdet,,"Lacs, petits plans d’eau et marais","Seen, kleine Stehgewässer und Moore","Laghi, piccoli specchi d'acqua e paludi "
62C7E64E-993E-4C51-901B-7A01D84157B3,VU,Verletzlich,"B2a, B2b(i,ii,iii,ivi)",Lacs et petits plans d’eau,Steh- und Fliessgewässer,Laghi e piccoli specchi d'acqua
16F52C92-F271-42B9-B907-0C162F7140CE,NE,Nicht beurteilt,,"Introduite, première mention Léman, 1992","Eingeführt, erste Fundmeldung Genfersee, 1992","Introdotta, prima segnalazione nel Lemano, 1992"
3CC4BBC4-8EE9-4824-83C0-3C5E2D4D01D5,NE,Nicht beurteilt,,"Introduite, première mention Genève, 1910","Eingeführt, erste Fundmeldung Genfersee, 1910","Introdotta, prima segnalazione a Ginevra, 1910"
0C16C1A4-6249-4D35-BDE5-9498171C92E2,NE,Nicht beurteilt,,"Introduite, première mention Léman, 1991","Eingeführt, erste Fundmeldung Genfersee, 1991","Introdotta, prima segnalazione nel Lemano, 1991"
16C3CC1E-66B7-4901-B108-B7BBCDBF3996,NT,Potenziell gefährdet,B2,"Milieux construits, Prairies et pâturages","Siedlungsgebiete, Wiesen und Weiden","Ambienti edificati, prati e pascoli"
FC4AF96B-B913-418E-92D2-0B9436BA4074,LC,Nicht gefährdet,,,,
64AA0C77-3BB8-4F2F-8374-49A6D8F05A68,NT,Potenziell gefährdet,B2b(iii),"Forêts, Roches et éboulis","Wälder, Felsen und Steinschutt","Boschi, rocce e ghiaioni"
A77DE412-0F07-4011-A21C-8B42EDBAC6CD,LC,Nicht gefährdet,,,,
65764882-A6C1-4F20-A9DE-EA3D3B2A0F5A,NE,Nicht beurteilt,,Introduit,Eingeschleppt,Introdotta
DF21479B-7075-4312-B3E6-D42B2B0267BD,LC,Nicht gefährdet,,,,
A6E96146-AA98-4709-A796-F13CF180F300,LC,Nicht gefährdet,,,,
2CFB0F3A-FEC3-4D3D-82E9-FB3B5CB6F931,LC,Nicht gefährdet,,,,
2F8FCB00-E527-42F4-8021-63A8A8628CA2,NT,Potenziell gefährdet,B2b(iii),Forêts,Wälder,Boschi
70AB1CBF-BE48-4BA2-9D57-DA589FBC546C,VU,Verletzlich,"B2a, B2b(ii, iii, iv)","Prairies et pâturages, Roches et éboulis","Wiesen und Weiden, Felsen und Steinschutt","Prati e pascoli, rocce e ghiaioni"
80117901-F3EE-490B-8FEC-9A04FEB35CEA,NT,Potenziell gefährdet,B2b(iii),"Forêts, Milieux construits, Roches et éboulis","Wälder, Siedlungsgebiete, Felsen und Steinschutt","Boschi, ambienti edificati, rocce e ghiaioni"
EF55A20B-5D23-408C-9E63-8C5E217FB160,EN,Stark gefährdet,"B2a, B2b(ii)","Milieux construits, Roches et éboulis","Siedlungsgebiete, Felsen und Steinschutt","Ambienti edificati, rocce e ghiaioni"
A9B662B0-D6F5-4D38-9BC5-8B654E22F42E,EN,Stark gefährdet,"B2a, B2b(ii)","Milieux construits, Roches et éboulis","Siedlungsgebiete, Felsen und Steinschutt","Ambienti edificati, rocce e ghiaioni"
87B08E85-ABE2-44E0-BCAC-33E6F26C7E0B,LC,Nicht gefährdet,,,,
BAF66846-4F5B-4874-A9AE-C095BDFAC344,VU,Verletzlich,"B2a, B2b(iii)",Forêts,Wälder,Boschi
